Date,Price,Open,High,Low,Vol.,Change %,Prev_Price,Price_Change,7_day_avg,30_day_avg
2013-05-27,1378.9,1386.3,1401.0,1372.1,295010.0,-0.58,1387.0,-8.099999999999909,1379.2,1421.5066666666667
2013-05-28,1379.3,1386.5,1401.4,1373.1,1850.0,0.03,1378.9,0.3999999999998636,1381.2,1421.2366666666667
2013-05-29,1391.6,1380.1,1394.4,1379.2,970.0,0.89,1379.3,12.299999999999955,1382.1714285714284,1421.5333333333333
2013-05-30,1412.0,1392.9,1417.7,1388.4,202830.0,1.47,1391.6,20.40000000000009,1387.0,1422.1833333333334
2013-05-31,1393.0,1412.9,1421.6,1384.2,167850.0,-1.35,1412.0,-19.0,1390.5857142857144,1422.0966666666666
2013-06-03,1411.9,1388.8,1416.5,1388.3,141770.0,1.36,1393.0,18.90000000000009,1393.3857142857141,1421.7866666666666
2013-06-04,1397.2,1411.2,1414.8,1388.1,117530.0,-1.04,1411.9,-14.700000000000045,1394.8428571428572,1421.4
2013-06-05,1398.5,1398.8,1410.3,1395.1,139660.0,0.09,1397.2,1.2999999999999545,1397.642857142857,1420.5600000000002
2013-06-06,1415.8,1401.8,1423.3,1391.2,177140.0,1.24,1398.5,17.299999999999955,1402.857142857143,1419.02
2013-06-07,1383.0,1412.7,1417.7,1377.1,199050.0,-2.32,1415.8,-32.799999999999955,1401.6285714285714,1416.6666666666667
2013-06-10,1386.0,1383.0,1388.5,1375.1,109060.0,0.22,1383.0,3.0,1397.9142857142856,1413.93
2013-06-11,1377.0,1385.9,1387.2,1364.5,146060.0,-0.65,1386.0,-9.0,1395.6285714285714,1410.74
2013-06-12,1392.0,1377.7,1394.0,1372.2,112200.0,1.09,1377.0,15.0,1392.7857142857142,1408.9133333333334
2013-06-13,1377.8,1387.4,1394.4,1373.0,127780.0,-1.02,1392.0,-14.200000000000045,1390.0142857142857,1405.9
2013-06-14,1387.6,1384.8,1391.8,1377.8,100910.0,0.71,1377.8,9.799999999999955,1388.457142857143,1403.3266666666668
2013-06-17,1383.1,1390.1,1391.4,1379.8,78350.0,-0.32,1387.6,-4.5,1383.7857142857142,1400.4766666666665
2013-06-18,1366.9,1384.3,1385.4,1360.2,128780.0,-1.17,1383.1,-16.199999999999818,1381.4857142857145,1397.7266666666667
2013-06-19,1374.0,1367.3,1376.0,1348.3,136470.0,0.52,1366.9,7.099999999999909,1379.7714285714287,1394.3833333333334
2013-06-20,1286.2,1351.2,1351.2,1275.4,368870.0,-6.39,1374.0,-87.79999999999995,1366.8,1388.2866666666666
2013-06-21,1292.0,1277.6,1301.7,1268.7,190150.0,0.45,1286.2,5.7999999999999545,1352.5142857142857,1383.4533333333334
2013-06-24,1277.1,1296.3,1300.7,1275.1,160330.0,-1.15,1292.0,-14.900000000000091,1338.1285714285714,1378.1933333333332
2013-06-25,1275.1,1281.7,1289.0,1270.7,161800.0,-0.16,1277.1,-2.0,1322.0571428571427,1373.1933333333334
2013-06-26,1229.8,1277.0,1277.5,1221.0,318400.0,-3.55,1275.1,-45.299999999999955,1300.1571428571426,1367.6266666666666
2013-06-27,1212.1,1212.1,1212.1,1212.1,261390.0,-1.44,1229.8,-17.700000000000045,1278.042857142857,1361.7799999999997
2013-06-28,1224.2,1201.5,1235.3,1183.9,80.0,1.0,1212.1,12.100000000000136,1256.642857142857,1357.0766666666668
2013-07-01,1256.3,1235.3,1260.1,1225.0,100.0,2.62,1224.2,32.09999999999991,1252.3714285714286,1352.7933333333333
2013-07-02,1244.0,1264.7,1264.7,1241.2,20.0,-0.98,1256.3,-12.299999999999955,1245.5142857142857,1348.32
2013-07-03,1252.5,1246.8,1258.0,1244.0,40.0,0.68,1244.0,8.5,1242.0,1344.4733333333331
2013-07-04,1212.7,1252.7,1257.1,1206.9,227040.0,-3.18,1252.5,-39.799999999999955,1233.0857142857144,1338.4866666666667
2013-07-05,1213.3,1255.0,1255.0,1208.7,320.0,0.05,1212.7,0.599999999999909,1230.7285714285715,1332.6966666666665
2013-07-08,1235.5,1222.1,1236.7,1216.3,140.0,1.83,1213.3,22.200000000000045,1234.0714285714287,1327.9166666666667
2013-07-09,1246.5,1236.0,1259.0,1232.9,160.0,0.89,1235.5,11.0,1237.2571428571428,1323.49
2013-07-10,1248.0,1248.4,1263.0,1244.4,130.0,0.12,1246.5,1.5,1236.0714285714287,1318.7033333333334
2013-07-11,1280.4,1277.7,1297.0,1275.0,200.0,2.6,1248.0,32.40000000000009,1241.2714285714287,1314.3166666666666
2013-07-12,1278.1,1286.2,1286.2,1268.1,70.0,-0.18,1280.4,-2.300000000000182,1244.9285714285713,1310.4866666666667
2013-07-15,1284.0,1292.8,1293.3,1275.0,80.0,0.46,1278.1,5.900000000000091,1255.1142857142856,1306.2233333333331
2013-07-16,1290.8,1279.4,1294.5,1277.9,50.0,0.53,1284.0,6.7999999999999545,1266.1857142857145,1302.6766666666667
2013-07-17,1277.8,1290.9,1298.3,1272.1,240.0,-1.01,1290.8,-13.0,1272.2285714285715,1298.6533333333334
2013-07-18,1284.5,1274.6,1287.1,1274.6,90.0,0.52,1277.8,6.7000000000000455,1277.6571428571428,1294.2766666666669
2013-07-19,1293.2,1283.8,1296.2,1283.8,120.0,0.68,1284.5,8.700000000000045,1284.1142857142859,1291.2833333333333
2013-07-22,1336.4,1297.4,1337.5,1297.4,360.0,3.34,1293.2,43.200000000000045,1292.1142857142856,1289.63
2013-07-23,1334.9,1335.4,1347.4,1327.0,570.0,-0.11,1336.4,-1.5,1300.2285714285715,1288.2266666666667
2013-07-24,1319.7,1344.8,1346.0,1314.0,680.0,-1.14,1334.9,-15.200000000000045,1305.3285714285714,1285.8166666666666
2013-07-25,1329.0,1318.3,1337.2,1309.4,690.0,0.7,1319.7,9.299999999999955,1310.7857142857142,1284.1899999999998
2013-07-26,1321.4,1334.7,1340.4,1312.0,1290.0,-0.57,1329.0,-7.599999999999909,1317.0142857142857,1281.9833333333333
2013-07-29,1328.8,1333.6,1338.1,1323.7,1340.0,0.56,1321.4,7.399999999999864,1323.3428571428572,1280.1733333333332
2013-07-30,1324.4,1327.4,1329.6,1316.6,7360.0,-0.33,1328.8,-4.399999999999864,1327.8,1278.7566666666667
2013-07-31,1312.6,1326.5,1339.4,1304.8,10610.0,-0.89,1324.4,-11.800000000000182,1324.3999999999999,1276.7099999999998
2013-08-01,1310.8,1324.0,1330.1,1306.6,8960.0,-0.14,1312.6,-1.7999999999999545,1320.957142857143,1277.53
2013-08-02,1310.3,1308.3,1317.4,1282.5,9020.0,-0.04,1310.8,-0.5,1319.6142857142856,1278.14
2013-08-05,1302.2,1311.6,1320.2,1296.6,3250.0,-0.62,1310.3,-8.099999999999909,1315.7857142857142,1278.9766666666667
2013-08-06,1282.6,1302.9,1305.9,1278.4,11510.0,-1.51,1302.2,-19.600000000000136,1310.2428571428572,1279.2266666666665
2013-08-07,1285.5,1281.9,1289.1,1272.1,5370.0,0.23,1282.6,2.900000000000091,1304.0571428571427,1281.0833333333333
2013-08-08,1310.1,1286.0,1313.8,1282.6,5260.0,1.91,1285.5,24.59999999999991,1302.0142857142857,1284.35
2013-08-09,1312.3,1311.5,1316.4,1304.8,2650.0,0.17,1310.1,2.2000000000000455,1301.9714285714285,1287.2866666666666
2013-08-12,1334.3,1313.8,1343.6,1313.8,6500.0,1.68,1312.3,22.0,1305.3285714285714,1289.8866666666668
